customer_id,first_name,last_name,phone,email,street,city,state,zip_code
677509,Lois,Walker,303-572-8492,lois.walker@hotmail.com,Denver,Denver,CO,80224
940761,Brenda,Robinson,225-945-4954,brenda.robinson@gmail.com,Stonewall,Stonewall,LA,71078
428945,Joe,Robinson,219-904-2161,joe.robinson@gmail.com,Michigantown,Michigantown,IN,46057
408351,Diane,Evans,215-793-6791,diane.evans@yahoo.com,Hydetown,Hydetown,PA,16328
193819,Benjamin,Russell,262-404-2252,benjamin.russell@charter.net,Fremont,Fremont,WI,54940
499687,Patrick,Bailey,319-812-6957,patrick.bailey@aol.com,Macksburg,Macksburg,IA,50155
539712,Nancy,Baker,229-336-5117,nancy.baker@bp.com,Atlanta,Atlanta,GA,30334
380086,Carol,Murphy,216-336-0009,carol.murphy@gmail.com,Blanchester,Blanchester,OH,45107
477616,Frances,Young,210-819-9765,frances.young@gmail.com,Delmita,Delmita,TX,78536
162402,Diana,Peterson,479-783-5656,diana.peterson@hotmail.co.uk,Eureka Springs,Eureka Springs,AR,72632
231469,Ralph,Flores,316-280-2864,ralph.flores@yahoo.com,Sabetha,Sabetha,KS,66534
153989,Jack,Alexander,702-603-3769,jack.alexander@gmail.com,Las Vegas,Las Vegas,NV,89170
386158,Melissa,King,216-605-3731,melissa.king@comcast.net,New Matamoras,New Matamoras,OH,45767
301576,Wayne,Watson,701-231-9370,wayne.watson@gmail.com,Maida,Maida,ND,58255
441771,Cheryl,Scott,215-288-9345,cheryl.scott@gmail.com,Quecreek,Quecreek,PA,15555
528509,Paula,Diaz,252-531-7641,paula.diaz@gmail.com,Beulaville,Beulaville,NC,28518
912990,Joshua,Stewart,217-279-9342,joshua.stewart@yahoo.ca,New Douglas,New Douglas,IL,62074
214352,Theresa,Lee,319-553-8919,theresa.lee@gmail.com,Toeterville,Toeterville,IA,50481
890290,Julia,Scott,423-939-1010,julia.scott@apple.com,Primm Springs,Primm Springs,TN,38476
622406,Thomas,Lewis,314-679-3697,thomas.lewis@gmail.com,Dutchtown,Dutchtown,MO,63745
979607,Carol,Edwards,225-283-4295,carol.edwards@msn.com,Shreveport,Shreveport,LA,71162
969580,Matthew,Turner,236-972-7624,matthew.turner@gmail.com,Heathsville,Heathsville,VA,22473
426038,Joan,Stewart,216-637-6800,joan.stewart@yahoo.com,Middleport,Middleport,OH,45760
388642,Ruby,Rogers,423-231-6507,ruby.rogers@gmail.com,Woodbury,Woodbury,TN,37190
560455,Carolyn,Hayes,239-882-8784,carolyn.hayes@hotmail.co.uk,Saint Cloud,Saint Cloud,FL,34771
477253,Anne,Russell,605-635-1306,anne.russell@ibm.com,Stockholm,Stockholm,SD,57264
263480,Daniel,Cooper,701-510-8162,daniel.cooper@yahoo.com,Manning,Manning,ND,58642
683826,Roger,Roberts,206-497-3141,roger.roberts@gmail.com,Mount Vernon,Mount Vernon,WA,98273
474599,Maria,Walker,423-668-5506,maria.walker@microsoft.com,Lawrenceburg,Lawrenceburg,TN,38464
335732,Brenda,Butler,480-814-8284,brenda.butler@gmail.com,Mesa,Mesa,AZ,85208
329752,Lillian,Brown,239-812-9041,lillian.brown@aol.com,Panacea,Panacea,FL,32346
893212,Amy,Howard,803-613-3168,amy.howard@aol.com,Kline,Kline,SC,29814
621833,Gregory,Edwards,503-256-9654,gregory.edwards@outlook.com,Bonanza,Bonanza,OR,97623
456747,Roy,Griffin,219-506-9378,roy.griffin@yahoo.com,Liberty,Liberty,IN,47353
278556,Richard,Mitchell,205-621-5884,richard.mitchell@verizon.net,Ohatchee,Ohatchee,AL,36271
333476,Mary,Wilson,423-937-8660,mary.wilson@sbcglobal.net,Nashville,Nashville,TN,37219
218791,Aaron,Price,219-287-8926,aaron.price@bp.com,Eckerty,Eckerty,IN,47116
134841,Donna,Brown,212-434-7910,donna.brown@aol.com,Lima,Lima,NY,14485
726264,Carl,Collins,479-740-7633,carl.collins@yahoo.com,Wright,Wright,AR,72182
766610,Joyce,Jenkins,262-455-4187,joyce.jenkins@aol.com,Ellsworth,Ellsworth,WI,54011
923947,Mary,Bryant,319-827-3516,mary.bryant@verizon.net,Conroy,Conroy,IA,52220
227922,Amanda,Hughes,225-544-9700,amanda.hughes@rediffmail.com,Lake Charles,Lake Charles,LA,70605
265813,Jack,Campbell,316-499-5737,jack.campbell@gmail.com,Kalvesta,Kalvesta,KS,67856
247137,Alan,Rivera,423-277-6819,alan.rivera@apple.com,Knoxville,Knoxville,TN,37901
407061,Elizabeth,Jackson,603-568-6118,elizabeth.jackson@aol.com,Rochester,Rochester,NH,3867
226714,Nancy,Davis,219-610-3067,nancy.davis@ibm.com,Bowling Green,Bowling Green,IN,47833
702813,Ernest,Martinez,479-951-4138,ernest.martinez@gmail.com,Uniontown,Uniontown,AR,72955
524896,Judy,Hernandez,316-736-6126,judy.hernandez@gmail.com,Topeka,Topeka,KS,66606
363065,Nancy,Jones,212-825-1930,nancy.jones@gmail.com,New York City,New York City,NY,10087
